web-scraper-order,web-scraper-start-url,festival_liste,festival_liste-href,Status,Datum,Datum_Plz_Ort_Addresse_Land,Title,Inhalt,Artist,Links,Links-href
"1591796696-3879","https://www.festivalplaner.de/festivals","Kapelle Somma","https://www.festivalplaner.de/festival/kapelle-somma","null","28.08.2020","28.08.2020 noch 79 Tage

                    59075 - Hamm

                    Kulturrevier Radbod, An den Fördertürmen 4

                    Deutschland","Info-Hotline:","Info-Hotline:  +49 561 350 296 28 - 0

                                                    Webseite

                            info@kapellepetra.de","","Webseite","http://www.kapellesomma.de/"
"1591796749-4038","https://www.festivalplaner.de/festivals","Straf Werk Festival","https://www.festivalplaner.de/festival/straf-werk-festival","ABGESAGT","15.08.2020","15.08.2020 noch 66 Tage

                    1047 - Amsterdam

                    Havenpark

                    Niederlande","","","Jesse Maas","",""
"1591796508-3007","https://www.festivalplaner.de/festivals","Parookaville","https://www.festivalplaner.de/festival/parookaville","null","16.07. - 18.07.2021","16.07. - 18.07.2021 noch 401 Tage

                    47652 - Weeze

                    Airport

                    Deutschland","Tickets","209 € für Wochenendtickets
295 € inkl. Camping Mellow Fields
Tagestickets ab 95 €                                       » Tickets kaufen","","» Tickets kaufen","https://shop.ticketpay.de/0YA09XAE"
"1591796461-2828","https://www.festivalplaner.de/festivals","Open Flair","https://www.festivalplaner.de/festival/open-flair","null","11.08. - 15.08.2021","11.08. - 15.08.2021 noch 427 Tage

                    37269 - Eschwege

                    Auf dem Werdchen

                    Deutschland","","","Flogging Molly","",""
"1591796735-4001","https://www.festivalplaner.de/festivals","Xperience Festival","https://www.festivalplaner.de/festival/xperience-festival","null","19.08. - 23.08.2020","19.08. - 23.08.2020 noch 70 Tage

                    32805 - Horn Bad Meinberg

                    Yoga Vidya

                    Deutschland","","","Ecstatic Dance","",""
"1591796868-4530","https://www.festivalplaner.de/festivals","Appletree Garden","https://www.festivalplaner.de/festival/appletree-garden","AUSVERKAUFT","30.07. - 01.08.2020","30.07. - 01.08.2020 noch 50 Tage

                    49356 - Diepholz-Lüdersbusch

                    Bürgerpark-Lüderbusch

                    Deutschland","","","Black Sea Dahu","",""
"1591796655-3596","https://www.festivalplaner.de/festivals","Volle Kraft Voraus","https://www.festivalplaner.de/festival/volle-kraft-voraus","null","12.09.2020","12.09.2020 noch 94 Tage

                    89231 - Neu-Ulm

                    Ratiopharm Arena

                    Deutschland","Kontakt","Webseite","","Webseite","http://www.vkv-festival.de/home.html"
"1591796459-2787","https://www.festivalplaner.de/festivals","Rocco del Schlacko","https://www.festivalplaner.de/festival/rocco-del-schlacko","null","12.08. - 14.08.2021","12.08. - 14.08.2021 noch 428 Tage

                    66346 - Püttlingen-Köllerbach

                    Festivalgelände Herchenbach

                    Deutschland","Müllpfand","vorhanden","","null",""
"1591796973-4923","https://www.festivalplaner.de/festivals","Full Force","https://www.festivalplaner.de/festival/full-force","ABGESAGT","26.06. - 28.06.2020","26.06. - 28.06.2020 noch 16 Tage

                    06773 - Gräfenhainichen

                    Ferropolis

                    Deutschland","","","1349","",""
"1591796864-4519","https://www.festivalplaner.de/festivals","Rocken am Brocken","https://www.festivalplaner.de/festival/rocken-am-brocken-1","ABGESAGT","30.07. - 02.08.2020","30.07. - 02.08.2020 noch 50 Tage

                    38875 - Elend

                    Brocken

                    Deutschland","","","Salamanda","",""
"1591796773-4064","https://www.festivalplaner.de/festivals","Reload Festival","https://www.festivalplaner.de/festival/reload-festival","ABGESAGT","13.08. - 15.08.2020","13.08. - 15.08.2020 noch 64 Tage

                    27239 - Sulingen

                    Festivalgelände

                    Deutschland","Besucher","ca. 12.000","","null",""
"1591796934-4854","https://www.festivalplaner.de/festivals","Balaton Sound","https://www.festivalplaner.de/festival/balaton-sound","ABGESAGT","08.07. - 12.07.2020","08.07. - 12.07.2020 noch 28 Tage

                    8621 - Zamárdi

                    Plattensee (Balaton)

                    Ungarn","","","SAYMYNAME","",""
"1591796828-4362","https://www.festivalplaner.de/festivals","Sziget","https://www.festivalplaner.de/festival/sziget","ABGESAGT","05.08. - 11.08.2020","05.08. - 11.08.2020 noch 56 Tage

                    1051 - Budapest

                    Obudai-Donauinsel

                    Ungarn","","","Black Honey","",""
"1591796529-3074","https://www.festivalplaner.de/festivals","Summerjam","https://www.festivalplaner.de/festival/summerjam","null","02.07. - 04.07.2021","02.07. - 04.07.2021 noch 387 Tage

                    50769 - Köln

                    Fühlinger See

                    Deutschland","","","Kelvyn Colt","",""
"1591796655-3599","https://www.festivalplaner.de/festivals","Volle Kraft Voraus","https://www.festivalplaner.de/festival/volle-kraft-voraus","null","12.09.2020","12.09.2020 noch 94 Tage

                    89231 - Neu-Ulm

                    Ratiopharm Arena

                    Deutschland","","","Maerzfeld","",""
"1591796828-4429","https://www.festivalplaner.de/festivals","Sziget","https://www.festivalplaner.de/festival/sziget","ABGESAGT","05.08. - 11.08.2020","05.08. - 11.08.2020 noch 56 Tage

                    1051 - Budapest

                    Obudai-Donauinsel

                    Ungarn","","","Viagra Boys","",""
"1591796623-3456","https://www.festivalplaner.de/festivals","Hanse Song Festival","https://www.festivalplaner.de/festival/hanse-song-festival-1","null","12.12.2020","12.12.2020 noch 185 Tage

                    21680 - Stade

                    verschiedene

                    Deutschland","","","Dota","",""
"1591796809-4314","https://www.festivalplaner.de/festivals","Haldern Pop","https://www.festivalplaner.de/festival/haldern-pop","ABGESAGT","06.08. - 08.08.2020","06.08. - 08.08.2020 noch 57 Tage

                    46459 - Rees-Haldern (Niederrhein)

                    Reitwiese

                    Deutschland","","","Squid","",""
"1591796729-3982","https://www.festivalplaner.de/festivals","Baltic Open Air","https://www.festivalplaner.de/festival/baltic-open-air","ABGESAGT","20.08. - 22.08.2020","20.08. - 22.08.2020 noch 71 Tage

                    24884 - Busdorf

                    Am Königshügel - Wikingerland Haddeby

                    Deutschland","","","Hammerfall","",""
"1591796669-3657","https://www.festivalplaner.de/festivals","Impericon München","https://www.festivalplaner.de/festival/impericon-muenchen","null","06.09.2020","06.09.2020 noch 88 Tage

                    80639 - München

                    Zenith - Die Kulturhalle

                    Deutschland","Kontakt","Webseite","","Webseite","https://www.impericon.com/de/"
"1591796539-3131","https://www.festivalplaner.de/festivals","Vainstream Rockfest","https://www.festivalplaner.de/festival/vainstream-rockfest","null","26.06.2021","26.06.2021 noch 381 Tage

                    48143 - Münster

                    Hawerkamp-Gelände

                    Deutschland","","","Being As An Ocean","",""
"1591796803-4246","https://www.festivalplaner.de/festivals","SonneMondSterne","https://www.festivalplaner.de/festival/sonnemondsterne","AUSVERKAUFT","07.08. - 09.08.2020","07.08. - 09.08.2020 noch 58 Tage

                    07368 - Saalburg

                    Festivalwiese

                    Deutschland","Info-Hotline:","Info-Hotline:  +49 (0) 34 14 78 39 057

                                                    Webseite

                            info@sonnemondsterne.de","","Webseite","http://www.sonnemondsterne.de/"
"1591796978-4993","https://www.festivalplaner.de/festivals","Fortland","https://www.festivalplaner.de/festival/fortland","ABGESAGT","19.06. - 20.06.2020","19.06. - 20.06.2020 noch 9 Tage

                    74532 - Ilshofen

                    Arena Hohenlohe

                    Deutschland","","","Foxon","",""
"1591797013-5110","https://www.festivalplaner.de/festivals","Docklands Festival","https://www.festivalplaner.de/festival/docklands-festival","null","13.06.2020","13.06.2020 noch 3 Tage

                    48155 - Münster

                    Am Hawerkamp

                    Deutschland","","","Mano Le Tough","",""
"1591796964-4910","https://www.festivalplaner.de/festivals","Schlossberg Festival Punk & Ska","https://www.festivalplaner.de/festival/schlossberg-festival-punk-ska","ABGESAGT","27.06.2020","27.06.2020 noch 17 Tage

                    78089 - Unterkirnach

                    Freihlichtbühne

                    Deutschland","","","SMK","",""
"1591796529-3100","https://www.festivalplaner.de/festivals","Summerjam","https://www.festivalplaner.de/festival/summerjam","null","02.07. - 04.07.2021","02.07. - 04.07.2021 noch 387 Tage

                    50769 - Köln

                    Fühlinger See

                    Deutschland","","","Sean Paul","",""
"1591796930-4758","https://www.festivalplaner.de/festivals","Wireless","https://www.festivalplaner.de/festival/wireless","ABGESAGT","10.07. - 11.07.2020","10.07. - 11.07.2020 noch 30 Tage

                    60486 - Frankfurt am Main

                    Alter Rebstockpark

                    Deutschland","","","Kendrick Lamar","",""
"1591796828-4373","https://www.festivalplaner.de/festivals","Sziget","https://www.festivalplaner.de/festival/sziget","ABGESAGT","05.08. - 11.08.2020","05.08. - 11.08.2020 noch 56 Tage

                    1051 - Budapest

                    Obudai-Donauinsel

                    Ungarn","","","Daughter","",""
"1591796533-3117","https://www.festivalplaner.de/festivals","OpenAir St. Gallen","https://www.festivalplaner.de/festival/openair-st-gallen","null","01.07. - 04.07.2021","01.07. - 04.07.2021 noch 386 Tage

                    9000 - St. Gallen

                    Sittertobel

                    Schweiz","Müllpfand","vorhanden","","null",""
"1591796623-3464","https://www.festivalplaner.de/festivals","Hanse Song Festival","https://www.festivalplaner.de/festival/hanse-song-festival-1","null","12.12.2020","12.12.2020 noch 185 Tage

                    21680 - Stade

                    verschiedene

                    Deutschland","","","Tom Liwa","",""
"1591796463-2893","https://www.festivalplaner.de/festivals","Punk Rock Holiday","https://www.festivalplaner.de/festival/punk-rock-holiday","null","09.08. - 13.08.2021","09.08. - 13.08.2021 noch 425 Tage

                    5220 - Tolmin

                    Tolmin

                    Slowenien","","","Zebrahead","",""
"1591796951-4881","https://www.festivalplaner.de/festivals","HeideWitzka","https://www.festivalplaner.de/festival/heidewitzka","null","02.07. - 05.07.2020","02.07. - 05.07.2020 noch 22 Tage

                    98646 - Hildburghausen

                    Lange Heide Hildburghausen

                    Deutschland","","","DJ Pepper","",""
"1591796773-4083","https://www.festivalplaner.de/festivals","Reload Festival","https://www.festivalplaner.de/festival/reload-festival","ABGESAGT","13.08. - 15.08.2020","13.08. - 15.08.2020 noch 64 Tage

                    27239 - Sulingen

                    Festivalgelände

                    Deutschland","","","Emily Falls","",""
"1591796934-4837","https://www.festivalplaner.de/festivals","Balaton Sound","https://www.festivalplaner.de/festival/balaton-sound","ABGESAGT","08.07. - 12.07.2020","08.07. - 12.07.2020 noch 28 Tage

                    8621 - Zamárdi

                    Plattensee (Balaton)

                    Ungarn","","","Ilario Alicante","",""
"1591796803-4261","https://www.festivalplaner.de/festivals","SonneMondSterne","https://www.festivalplaner.de/festival/sonnemondsterne","AUSVERKAUFT","07.08. - 09.08.2020","07.08. - 09.08.2020 noch 58 Tage

                    07368 - Saalburg

                    Festivalwiese

                    Deutschland","","","Paula Temple","",""
"1591796909-4623","https://www.festivalplaner.de/festivals","Blasius","https://www.festivalplaner.de/festival/blasius","null","17.07. - 19.07.2020","17.07. - 19.07.2020 noch 37 Tage

                    86742 - Fremdingen

                    Grünhofwiesen

                    Deutschland","","","Muckasäck","",""
"1591796749-4021","https://www.festivalplaner.de/festivals","Straf Werk Festival","https://www.festivalplaner.de/festival/straf-werk-festival","ABGESAGT","15.08.2020","15.08.2020 noch 66 Tage

                    1047 - Amsterdam

                    Havenpark

                    Niederlande","Tickets","53,39 Euro                                       » Tickets kaufen","","» Tickets kaufen","http://strafwerk.sollidd.com/swf-2020/"
"1591796744-4015","https://www.festivalplaner.de/festivals","New Healing","https://www.festivalplaner.de/festival/new-healing","null","17.08. - 23.08.2020","17.08. - 23.08.2020 noch 68 Tage

                    16945 - Kümmernitztal

                    pin
	
New Healing Festival

                    Deutschland","Tickets","» Tickets kaufen","","» Tickets kaufen","http://www.tixforgigs.com/Event/31735/new-healing-festival-2020-music-art-inspiration-badesee-preddohl-kummernitzta"
"1591796934-4838","https://www.festivalplaner.de/festivals","Balaton Sound","https://www.festivalplaner.de/festival/balaton-sound","ABGESAGT","08.07. - 12.07.2020","08.07. - 12.07.2020 noch 28 Tage

                    8621 - Zamárdi

                    Plattensee (Balaton)

                    Ungarn","","","Jax Jones","",""
"1591796790-4190","https://www.festivalplaner.de/festivals","Summer Breeze","https://www.festivalplaner.de/festival/summer-breeze","null","12.08. - 15.08.2020","12.08. - 15.08.2020 noch 63 Tage

                    91550 - Dinkelsbühl

                    Flugplatz Dinkelsbühl-Sinbronn

                    Deutschland","","","Mass Hysteria","",""
"1591796698-3899","https://www.festivalplaner.de/festivals","Waldfrieden Wonderland","https://www.festivalplaner.de/festival/waldfrieden-wonderland","null","27.08. - 30.08.2020","27.08. - 30.08.2020 noch 78 Tage

                    32351 - Wehdem

                    Festivalgelände

                    Deutschland","","","Fable","",""
"1591796790-4203","https://www.festivalplaner.de/festivals","Summer Breeze","https://www.festivalplaner.de/festival/summer-breeze","null","12.08. - 15.08.2020","12.08. - 15.08.2020 noch 63 Tage

                    91550 - Dinkelsbühl

                    Flugplatz Dinkelsbühl-Sinbronn

                    Deutschland","","","The Prophecy","",""
"1591796537-3122","https://www.festivalplaner.de/festivals","Roskilde","https://www.festivalplaner.de/festival/roskilde","null","26.06. - 03.07.2021","26.06. - 03.07.2021 noch 381 Tage

                    4000  - Roskilde

                    Festivalgelände

                    Dänemark","Besucher","ca. 100.000","","null",""
"1591796719-3941","https://www.festivalplaner.de/festivals","Royal Arena","https://www.festivalplaner.de/festival/royal-arena","ABGESAGT","21.08. - 23.08.2020","21.08. - 23.08.2020 noch 72 Tage

                    CH-2552 - Orpund

                    Römerareal

                    Schweiz","Tickets","155 Euro                                       » Tickets kaufen","","» Tickets kaufen","http://www.royalarena.ch/webroot/source/index.php?rubricId=1"
"1591796648-3560","https://www.festivalplaner.de/festivals","Reeperbahn Festival","https://www.festivalplaner.de/festival/reeperbahn-festival","null","16.09. - 19.09.2020","16.09. - 19.09.2020 noch 98 Tage

                    20359 - Hamburg

                    Reeperbahn

                    Deutschland","","","Tash Sultana","",""
"1591796556-3285","https://www.festivalplaner.de/festivals","Hurricane","https://www.festivalplaner.de/festival/hurricane","VERLEGT","18.06. - 20.06.2021","18.06. - 20.06.2021 noch 373 Tage

                    27383 - Scheeßel

                    Eichenring

                    Deutschland","","","Mine","",""
"1591796665-3638","https://www.festivalplaner.de/festivals","Holle Rock","https://www.festivalplaner.de/festival/holle-rock","null","11.09. - 12.09.2020","11.09. - 12.09.2020 noch 93 Tage

                    37235 - Hessisch Lichtenau

                    Ehemaliges Freibadgelände

                    Deutschland","","","Sturdy","",""
"1591796973-4925","https://www.festivalplaner.de/festivals","Full Force","https://www.festivalplaner.de/festival/full-force","ABGESAGT","26.06. - 28.06.2020","26.06. - 28.06.2020 noch 16 Tage

                    06773 - Gräfenhainichen

                    Ferropolis

                    Deutschland","","","Amon Amarth","",""
"1591796640-3529","https://www.festivalplaner.de/festivals","Wald Healing","https://www.festivalplaner.de/festival/wald-healing","null","25.09. - 27.09.2020","25.09. - 27.09.2020 noch 107 Tage

                    32351 - Stemwede-Wehdem

                    Waldfrieden

                    Deutschland","Kontakt","Webseite

                            christina@wald-healing.de","","Webseite","http://www.waldhealing.de/"
"1591796864-4508","https://www.festivalplaner.de/festivals","Rocken am Brocken","https://www.festivalplaner.de/festival/rocken-am-brocken-1","ABGESAGT","30.07. - 02.08.2020","30.07. - 02.08.2020 noch 50 Tage

                    38875 - Elend

                    Brocken

                    Deutschland","","","Hundreds","",""
"1591796847-4452","https://www.festivalplaner.de/festivals","Watt En Schlick","https://www.festivalplaner.de/festival/watt-en-schlick","ABGESAGT","31.07. - 02.08.2020","31.07. - 02.08.2020 noch 51 Tage

                    26316 - Varel

                    Kurhaus Dangast Strand

                    Deutschland","","","Altin Gün","",""
"1591796486-2929","https://www.festivalplaner.de/festivals","Nature One","https://www.festivalplaner.de/festival/nature-one","null","30.07. - 01.08.2021","30.07. - 01.08.2021 noch 415 Tage

                    56288 - Kastellaun

                    Festivalgelände:
Raketenbasis Pydna

                    Deutschland","Besucher","ca. 60.000","","null",""
"1591796934-4820","https://www.festivalplaner.de/festivals","Balaton Sound","https://www.festivalplaner.de/festival/balaton-sound","ABGESAGT","08.07. - 12.07.2020","08.07. - 12.07.2020 noch 28 Tage

                    8621 - Zamárdi

                    Plattensee (Balaton)

                    Ungarn","Kontakt","Webseite","","Webseite","http://de.balatonsound.com/"
"1591796523-3054","https://www.festivalplaner.de/festivals","Mission Ready Festival","https://www.festivalplaner.de/festival/mission-ready-festival","VERLEGT","03.07.2021","03.07.2021 noch 388 Tage

                    65205 - Würzburg-Giebelstadt

                    Flugplatz

                    Deutschland","","","Dog Eat Dog","",""
"1591796529-3075","https://www.festivalplaner.de/festivals","Summerjam","https://www.festivalplaner.de/festival/summerjam","null","02.07. - 04.07.2021","02.07. - 04.07.2021 noch 387 Tage

                    50769 - Köln

                    Fühlinger See

                    Deutschland","","","Hollie Cook","",""
"1591796461-2836","https://www.festivalplaner.de/festivals","Open Flair","https://www.festivalplaner.de/festival/open-flair","null","11.08. - 15.08.2021","11.08. - 15.08.2021 noch 427 Tage

                    37269 - Eschwege

                    Auf dem Werdchen

                    Deutschland","","","Majan","",""
"1591796463-2879","https://www.festivalplaner.de/festivals","Punk Rock Holiday","https://www.festivalplaner.de/festival/punk-rock-holiday","null","09.08. - 13.08.2021","09.08. - 13.08.2021 noch 425 Tage

                    5220 - Tolmin

                    Tolmin

                    Slowenien","","","P.o.box","",""
"1591796887-4567","https://www.festivalplaner.de/festivals","Riez Open Air","https://www.festivalplaner.de/festival/riez-open-air","ABGESAGT","23.07. - 25.07.2020","23.07. - 25.07.2020 noch 43 Tage

                    54538 - Bausendorf bei Wittlich (Eifel)

                    Zur Riez 1 / Riez Festivalgelände

                    Deutschland","Camping","12 Euro","","null",""
"1591796828-4361","https://www.festivalplaner.de/festivals","Sziget","https://www.festivalplaner.de/festival/sziget","ABGESAGT","05.08. - 11.08.2020","05.08. - 11.08.2020 noch 56 Tage

                    1051 - Budapest

                    Obudai-Donauinsel

                    Ungarn","","","Bikini Kill","",""
"1591796514-3019","https://www.festivalplaner.de/festivals","Transit Festival","https://www.festivalplaner.de/festival/transit-festival","null","09.07. - 11.07.2021","09.07. - 11.07.2021 noch 394 Tage

                    17089 - Breest

                    Burg Klempenow

                    Deutschland","Camping","Ja","","null",""
"1591796502-2978","https://www.festivalplaner.de/festivals","Juicy Beats","https://www.festivalplaner.de/festival/juicy-beats","null","23.07. - 24.07.2021","23.07. - 24.07.2021 noch 408 Tage

                    44135 - Dortmund

                    Westfalenpark

                    Deutschland","","","Drunken Masters","",""
"1591797013-5107","https://www.festivalplaner.de/festivals","Docklands Festival","https://www.festivalplaner.de/festival/docklands-festival","null","13.06.2020","13.06.2020 noch 3 Tage

                    48155 - Münster

                    Am Hawerkamp

                    Deutschland","Kontakt","Webseite

                            info@docklands-festival.de","","Webseite","http://www.docklands-festival.de/home/"
"1591796688-3827","https://www.festivalplaner.de/festivals","Immergut Festival","https://www.festivalplaner.de/festival/immergut-festival","null","03.09. - 05.09.2020","03.09. - 05.09.2020 noch 85 Tage

                    17235 - Neustrelitz

                    Festivalgelände

                    Deutschland","","","Friends Of Gas","",""
"1591796684-3782","https://www.festivalplaner.de/festivals","Pell-Mell Festival","https://www.festivalplaner.de/festival/pell-mell-festival-1","null","04.09. - 05.09.2020","04.09. - 05.09.2020 noch 86 Tage

                    56414 - Obererbach

                    Festivalgelände, Hauptstraße 1

                    Deutschland","","","Giver","",""
"1591796735-4008","https://www.festivalplaner.de/festivals","Xperience Festival","https://www.festivalplaner.de/festival/xperience-festival","null","19.08. - 23.08.2020","19.08. - 23.08.2020 noch 70 Tage

                    32805 - Horn Bad Meinberg

                    Yoga Vidya

                    Deutschland","","","Andrea Paolini","",""
"1591796790-4143","https://www.festivalplaner.de/festivals","Summer Breeze","https://www.festivalplaner.de/festival/summer-breeze","null","12.08. - 15.08.2020","12.08. - 15.08.2020 noch 63 Tage

                    91550 - Dinkelsbühl

                    Flugplatz Dinkelsbühl-Sinbronn

                    Deutschland","","","Benediction","",""
"1591796909-4631","https://www.festivalplaner.de/festivals","Blasius","https://www.festivalplaner.de/festival/blasius","null","17.07. - 19.07.2020","17.07. - 19.07.2020 noch 37 Tage

                    86742 - Fremdingen

                    Grünhofwiesen

                    Deutschland","","","Vollblutmusikanten","",""
"1591796447-2687","https://www.festivalplaner.de/festivals","Internationales Jazzfestival Saalfelden","https://www.festivalplaner.de/festival/internationales-jazzfestival-saalfelden","null","19.08. - 22.08.2021","19.08. - 22.08.2021 noch 435 Tage

                    5760 - Saalfelden

                    Saalfelden

                    Österreich","Info-Hotline:","Info-Hotline:  0043 6582 70660

                                                    Webseite

                            info@saalfelden-leogang.at","","Webseite","http://www.jazzsaalfelden.com/"
"1591796932-4812","https://www.festivalplaner.de/festivals","Exit Festival","https://www.festivalplaner.de/festival/exit-festival","null","09.07. - 12.07.2020","09.07. - 12.07.2020 noch 29 Tage

                    21000 - Novi Sad

                    Festung Petrovaradin

                    Serbien/Montenegro","","","Stranger","",""
"1591796773-4084","https://www.festivalplaner.de/festivals","Reload Festival","https://www.festivalplaner.de/festival/reload-festival","ABGESAGT","13.08. - 15.08.2020","13.08. - 15.08.2020 noch 64 Tage

                    27239 - Sulingen

                    Festivalgelände

                    Deutschland","","","Eskimo Callboy","",""
"1591796632-3497","https://www.festivalplaner.de/festivals","Hamburg Soul Weekender","https://www.festivalplaner.de/festival/hamburg-soul-weekender","null","02.10. - 04.10.2020","02.10. - 04.10.2020 noch 114 Tage

                    22767 - Hamburg

                    Gruenspan

                    Deutschland","","","Steff Christiansen","",""
"1591796539-3149","https://www.festivalplaner.de/festivals","Vainstream Rockfest","https://www.festivalplaner.de/festival/vainstream-rockfest","null","26.06.2021","26.06.2021 noch 381 Tage

                    48143 - Münster

                    Hawerkamp-Gelände

                    Deutschland","","","Smoke Blow","",""
"1591796655-3598","https://www.festivalplaner.de/festivals","Volle Kraft Voraus","https://www.festivalplaner.de/festival/volle-kraft-voraus","null","12.09.2020","12.09.2020 noch 94 Tage

                    89231 - Neu-Ulm

                    Ratiopharm Arena

                    Deutschland","","","Lord Of The Lost","",""
"1591796588-3384","https://www.festivalplaner.de/festivals","Die Festung Rockt","https://www.festivalplaner.de/festival/die-festung-rockt","null","29.05.2021","29.05.2021 noch 353 Tage

                    96317 - Kronach

                    Festung Rosenberg

                    Deutschland","","","Mambo Kurt","",""
"1591796449-2725","https://www.festivalplaner.de/festivals","Highfield","https://www.festivalplaner.de/festival/highfield","VERLEGT","13.08. - 15.08.2021","13.08. - 15.08.2021 noch 429 Tage

                    04463 - Großpösna

                    Störmthaler See

                    Deutschland","","","Provinz","",""
"1591796461-2822","https://www.festivalplaner.de/festivals","Open Flair","https://www.festivalplaner.de/festival/open-flair","null","11.08. - 15.08.2021","11.08. - 15.08.2021 noch 427 Tage

                    37269 - Eschwege

                    Auf dem Werdchen

                    Deutschland","","","Die Orsons","",""
"1591796790-4226","https://www.festivalplaner.de/festivals","Summer Breeze","https://www.festivalplaner.de/festival/summer-breeze","null","12.08. - 15.08.2020","12.08. - 15.08.2020 noch 63 Tage

                    91550 - Dinkelsbühl

                    Flugplatz Dinkelsbühl-Sinbronn

                    Deutschland","","","Vitriol","",""
"1591796455-2763","https://www.festivalplaner.de/festivals","Taubertal Festival","https://www.festivalplaner.de/festival/taubertal-festival","null","12.08. - 15.08.2021","12.08. - 15.08.2021 noch 428 Tage

                    91541 - Rothenburg o.d. Tauberhat

                    Eiswiese

                    Deutschland","","","Leoniden","",""
"1591796597-3402","https://www.festivalplaner.de/festivals","Ikarus","https://www.festivalplaner.de/festival/ikarus","null","21.05. - 24.05.2021","21.05. - 24.05.2021 noch 345 Tage

                    87766 - Memmingerberg

                    Allgäu airport

                    Deutschland","Kontakt","Webseite

                            support@permanent-entertainment.com","","Webseite","http://www.ikarus-festival.de/"
"1591796554-3220","https://www.festivalplaner.de/festivals","Southside","https://www.festivalplaner.de/festival/southside","VERLEGT","18.06. - 20.06.2021","18.06. - 20.06.2021 noch 373 Tage

                    78579 - Neuhausen ob Eck

                    Gewerbepark ""Take Off""

                    Deutschland","","","Millencolin","",""
"1591796657-3613","https://www.festivalplaner.de/festivals","Sonnentanz Open Air","https://www.festivalplaner.de/festival/sonnentanz-open-air","null","12.09.2020","12.09.2020 noch 94 Tage

                    95448 - Bayreuth

                    Das Zentrum

                    Deutschland","","","Johannes Schmidt","",""
"1591796529-3085","https://www.festivalplaner.de/festivals","Summerjam","https://www.festivalplaner.de/festival/summerjam","null","02.07. - 04.07.2021","02.07. - 04.07.2021 noch 387 Tage

                    50769 - Köln

                    Fühlinger See

                    Deutschland","","","Majan","",""
"1591796457-2783","https://www.festivalplaner.de/festivals","Hütte Rockt Festival","https://www.festivalplaner.de/festival/huette-rockt-festival","null","12.08. - 14.08.2021","12.08. - 14.08.2021 noch 428 Tage

                    49124 - Georgsmarienhütte

                    Bielefelder Str. 11

                    Deutschland","","","The Subways","",""
"1591796623-3470","https://www.festivalplaner.de/festivals","Hanse Song Festival","https://www.festivalplaner.de/festival/hanse-song-festival-1","null","12.12.2020","12.12.2020 noch 185 Tage

                    21680 - Stade

                    verschiedene

                    Deutschland","","","The Düsseldorf Düsterboys","",""
"1591796554-3199","https://www.festivalplaner.de/festivals","Southside","https://www.festivalplaner.de/festival/southside","VERLEGT","18.06. - 20.06.2021","18.06. - 20.06.2021 noch 373 Tage

                    78579 - Neuhausen ob Eck

                    Gewerbepark ""Take Off""

                    Deutschland","","","Martin Garrix","",""
"1591796724-3954","https://www.festivalplaner.de/festivals","Obstwiesenfestival","https://www.festivalplaner.de/festival/obstwiesenfestival","null","20.08. - 22.08.2020","20.08. - 22.08.2020 noch 71 Tage

                    89160 - Dornstadt

                    Festivalgelände Lerchenberg

                    Deutschland","Kontakt","Webseite

                            team@obstwiesenfestival.de","","Webseite","http://www.obstwiesenfestival.de/"
"1591796809-4310","https://www.festivalplaner.de/festivals","Haldern Pop","https://www.festivalplaner.de/festival/haldern-pop","ABGESAGT","06.08. - 08.08.2020","06.08. - 08.08.2020 noch 57 Tage

                    46459 - Rees-Haldern (Niederrhein)

                    Reitwiese

                    Deutschland","","","Ricky Dietz","",""
"1591796934-4840","https://www.festivalplaner.de/festivals","Balaton Sound","https://www.festivalplaner.de/festival/balaton-sound","ABGESAGT","08.07. - 12.07.2020","08.07. - 12.07.2020 noch 28 Tage

                    8621 - Zamárdi

                    Plattensee (Balaton)

                    Ungarn","","","Julien Jeweil","",""
"1591796669-3672","https://www.festivalplaner.de/festivals","Impericon München","https://www.festivalplaner.de/festival/impericon-muenchen","null","06.09.2020","06.09.2020 noch 88 Tage

                    80639 - München

                    Zenith - Die Kulturhalle

                    Deutschland","","","Your Demise","",""
"1591796451-2736","https://www.festivalplaner.de/festivals","MS Dockville","https://www.festivalplaner.de/festival/ms-dockville","null","13.08. - 15.08.2021","13.08. - 15.08.2021 noch 429 Tage

                    21107 - Hamburg

                    Schlengendeich 12


                    Deutschland","Kontakt","Info-Hotline:  040 80006090

                                                    Webseite

                            kontakt@dockville.de","","Webseite","http://msdockville.de/"
"1591796934-4850","https://www.festivalplaner.de/festivals","Balaton Sound","https://www.festivalplaner.de/festival/balaton-sound","ABGESAGT","08.07. - 12.07.2020","08.07. - 12.07.2020 noch 28 Tage

                    8621 - Zamárdi

                    Plattensee (Balaton)

                    Ungarn","","","Moksi","",""
"1591796443-2672","https://www.festivalplaner.de/festivals","Kulturflut Open Air","https://www.festivalplaner.de/festival/kulturflut-open-air","null","20.08. - 21.08.2021","20.08. - 21.08.2021 noch 436 Tage

                    21129 - Hamburg

                    Gorch-Fock-Park

                    Deutschland","Kontakt","Webseite

                            Dieter@suessnapp.de","","Webseite","http://www.kulturflut.info/"
"1591796669-3670","https://www.festivalplaner.de/festivals","Impericon München","https://www.festivalplaner.de/festival/impericon-muenchen","null","06.09.2020","06.09.2020 noch 88 Tage

                    80639 - München

                    Zenith - Die Kulturhalle

                    Deutschland","","","Une Misere","",""
